STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.06591796875  0.600  0.460  0.640  ['CT', 'RT', 'ART']
2  0.4  0.00  0.098876953125  0.740  0.630  0.700  ['CT', 'RT', 'ART']
2  0.4  0.00  0.1318359375  0.850  0.780  0.850  ['CT', 'RT', 'ART']
2  0.4  0.00  0.19775390625  0.940  0.900  0.980  ['CT', 'RT', 'ART']
2  0.4  0.25  0.1171875  0.760  0.920  0.860  ['CT', 'RT', 'ART']
2  0.4  0.25  0.17578125  0.900  0.880  0.930  ['CT', 'RT', 'ART']
2  0.4  0.25  0.234375  0.980  0.930  0.970  ['CT', 'RT', 'ART']
2  0.4  0.25  0.3515625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.15625  0.900  0.840  0.880  ['CT', 'RT', 'ART']
2  0.4  0.50  0.234375  0.980  0.920  0.930  ['CT', 'RT', 'ART']
2  0.4  0.50  0.3125  0.990  0.950  0.960  ['CT', 'RT', 'ART']
2  0.4  0.50  0.46875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.25  1.000  0.960  0.980  ['CT', 'RT', 'ART']
2  0.4  0.75  0.375  1.000  0.990  0.990  ['CT', 'RT', 'ART']
2  0.4  0.75  0.5  1.000  0.990  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.75  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.3333333333333333  1.000  0.980  0.960  ['CT', 'RT', 'ART']
2  0.4  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.002574920654296875  0.000  0.080  0.020  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0274658203125  0.320  0.380  0.300  ['CT', 'RT', 'ART']
2  0.6  0.00  0.04119873046875  0.430  0.370  0.420  ['CT', 'RT', 'ART']
