STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.002197265625  0.020  0.040  0.020  ['CT', 'RT', 'ART']
2  0.4  0.00  0.0029296875  0.020  0.040  0.020  ['CT', 'RT', 'ART']
2  0.4  0.00  0.003662109375  0.023  0.043  0.023  ['CT', 'RT', 'ART']
2  0.4  0.00  0.00439453125  0.080  0.080  0.020  ['CT', 'RT', 'ART']
2  0.4  0.00  0.0054931640625  0.032  0.076  0.068  ['CT', 'RT', 'ART']
2  0.4  0.00  0.005859375  0.070  0.080  0.040  ['CT', 'RT', 'ART']
2  0.4  0.00  0.00732421875  0.075  0.103  0.061  ['CT', 'RT', 'ART']
2  0.4  0.00  0.0087890625  0.052  0.148  0.058  ['CT', 'RT', 'ART']
2  0.4  0.00  0.010986328125  0.074  0.170  0.094  ['CT', 'RT', 'ART']
2  0.4  0.00  0.0146484375  0.140  0.200  0.080  ['CT', 'RT', 'ART']
2  0.4  0.00  0.017578125  0.160  0.240  0.120  ['CT', 'RT', 'ART']
2  0.4  0.25  0.01171875  0.100  0.000  0.140  ['CT', 'ART']
2  0.4  0.25  0.015625  0.060  0.080  0.240  ['ART']
2  0.4  0.25  0.01953125  0.091  0.169  0.274  ['RT', 'ART']
2  0.4  0.25  0.0234375  0.240  0.020  0.240  ['CT', 'ART']
2  0.4  0.25  0.029296875  0.200  0.264  0.324  ['CT', 'RT', 'ART']
2  0.4  0.25  0.03125  0.180  0.180  0.330  ['CT', 'RT', 'ART']
2  0.4  0.25  0.0390625  0.277  0.324  0.397  ['CT', 'RT', 'ART']
2  0.4  0.25  0.046875  0.302  0.262  0.434  ['CT', 'ART']
2  0.4  0.25  0.05859375  0.426  0.364  0.531  ['CT', 'RT', 'ART']
2  0.4  0.25  0.078125  0.520  0.580  0.660  ['CT', 'RT', 'ART']
2  0.4  0.25  0.09375  0.580  0.480  0.660  ['CT', 'RT', 'ART']
2  0.4  0.50  0.028125  0.340  0.160  0.240  ['CT', 'RT', 'ART']
2  0.4  0.50  0.0375  0.380  0.300  0.340  ['CT', 'RT', 'ART']
2  0.4  0.50  0.046875  0.420  0.454  0.471  ['CT', 'RT', 'ART']
2  0.4  0.50  0.05625  0.600  0.340  0.440  ['CT', 'ART']
2  0.4  0.50  0.0703125  0.604  0.616  0.584  ['CT', 'RT', 'ART']
2  0.4  0.50  0.075  0.630  0.450  0.570  ['CT', 'RT', 'ART']
