STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.05555555555555555  0.440  0.420  0.600  ['CT', 'RT', 'ART']
2  0.4  0.00  0.1111111111111111  0.860  0.680  0.720  ['CT', 'RT', 'ART']
2  0.4  0.00  0.16666666666666666  0.953  0.773  0.878  ['CT', 'ART']
2  0.4  0.00  0.2222222222222222  1.000  0.880  0.973  ['CT', 'ART']
2  0.4  0.00  0.2777777777777778  1.000  0.960  0.900  ['CT', 'RT']
2  0.4  0.00  0.4444444444444444  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.4  0.25  0.06666666666666667  0.320  0.520  0.480  ['CT', 'RT', 'ART']
2  0.4  0.25  0.13333333333333333  1.000  0.600  0.920  ['CT', 'ART']
2  0.4  0.25  0.2  1.000  0.858  0.969  ['CT', 'ART']
2  0.4  0.25  0.26666666666666666  1.000  0.927  0.987  ['CT', 'ART']
2  0.4  0.25  0.3333333333333333  1.000  0.940  0.980  ['CT', 'RT', 'ART']
2  0.4  0.25  0.5333333333333333  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.08333333333333333  0.300  0.460  0.460  ['CT', 'RT', 'ART']
2  0.4  0.50  0.16666666666666666  1.000  0.760  1.000  ['CT', 'ART']
2  0.4  0.50  0.25  1.000  0.884  1.000  ['CT', 'ART']
2  0.4  0.50  0.3333333333333333  1.000  0.967  1.000  ['CT', 'ART']
2  0.4  0.50  0.4166666666666667  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.1111111111111111  0.440  0.460  0.400  ['CT', 'RT', 'ART']
2  0.4  0.75  0.2222222222222222  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.3333333333333333  1.000  0.909  1.000  ['CT', 'ART']
2  0.4  0.75  0.4444444444444444  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.5555555555555556  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.8888888888888888  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.125  0.580  0.440  0.460  ['CT', 'RT', 'ART']
2  0.4  1.00  0.25  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.375  1.000  0.940  1.000  ['CT', 'ART']
2  0.4  1.00  0.5  1.000  0.987  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.006944444444444444  0.000  0.120  0.000  ['RT']
2  0.6  0.00  0.013888888888888888  0.180  0.080  0.080  ['CT', 'RT', 'ART']
2  0.6  0.00  0.027777777777777776  0.300  0.320  0.160  ['CT', 'RT', 'ART']
2  0.6  0.00  0.08333333333333333  0.700  0.520  0.720  ['CT', 'RT', 'ART']
2  0.6  0.00  0.09722222222222222  0.780  0.700  0.780  ['CT', 'RT', 'ART']
2  0.6  0.00  0.125  0.980  0.703  0.840  ['CT']
2  0.6  0.00  0.18055555555555555  0.980  0.880  0.940  ['CT', 'RT', 'ART']
2  0.6  0.00  0.20833333333333334  1.000  0.920  0.980  ['CT', 'RT', 'ART']
2  0.6  0.00  0.25  1.000  0.920  0.980  ['CT', 'RT', 'ART']
2  0.6  0.00  0.3541666666666667  1.000  1.000  0.980  ['CT', 'RT', 'ART']
2  0.6  0.00  0.3611111111111111  1.000  1.000  0.980  ['CT', 'RT', 'ART']
2  0.6  0.25  0.010416666666666666  0.180  0.200  0.080  ['CT', 'RT', 'ART']
2  0.6  0.25  0.020833333333333332  0.120  0.140  0.180  ['CT', 'RT', 'ART']
2  0.6  0.25  0.041666666666666664  0.520  0.400  0.300  ['CT', 'RT', 'ART']
2  0.6  0.25  0.125  0.700  0.580  0.780  ['CT', 'RT', 'ART']
2  0.6  0.25  0.14583333333333334  1.000  0.780  0.800  ['CT']
2  0.6  0.25  0.1875  0.980  0.773  0.997  ['CT', 'ART']
2  0.6  0.25  0.2708333333333333  1.000  0.940  0.980  ['CT', 'RT', 'ART']
2  0.6  0.25  0.3125  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.6  0.25  0.375  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.6  0.25  0.53125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.25  0.5416666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.015625  0.180  0.320  0.200  ['CT', 'RT', 'ART']
2  0.6  0.50  0.03125  0.120  0.080  0.120  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0625  0.580  0.660  0.620  ['CT', 'RT', 'ART']
2  0.6  0.50  0.1875  0.840  0.680  0.800  ['CT', 'RT', 'ART']
2  0.6  0.50  0.21875  1.000  0.820  0.960  ['CT', 'ART']
2  0.6  0.50  0.28125  1.000  0.963  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.40625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.46875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.5625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.796875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.8125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.017857142857142856  0.120  0.300  0.160  ['CT', 'RT', 'ART']
2  0.6  0.75  0.03571428571428571  0.020  0.100  0.040  ['CT', 'RT', 'ART']
2  0.6  0.75  0.07142857142857142  1.000  0.780  0.900  ['CT', 'ART']
2  0.6  0.75  0.21428571428571427  1.000  0.820  0.960  ['CT', 'ART']
2  0.6  0.75  0.25  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.32142857142857145  1.000  0.943  1.000  ['CT', 'ART']
2  0.6  0.75  0.4642857142857143  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.5357142857142857  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.6428571428571429  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.9107142857142857  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.9285714285714286  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.019230769230769232  0.200  0.180  0.320  ['CT', 'RT', 'ART']
2  0.6  1.00  0.038461538461538464  0.040  0.120  0.020  ['CT', 'RT', 'ART']
2  0.6  1.00  0.07692307692307693  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.23076923076923078  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.2692307692307692  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.34615384615384615  1.000  0.913  1.000  ['CT', 'ART']
2  0.6  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.5769230769230769  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.6923076923076923  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.9807692307692307  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.001736111111111111  0.000  0.020  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.006944444444444444  0.060  0.100  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.024305555555555556  0.220  0.280  0.320  ['CT', 'RT', 'ART']
2  0.8  0.00  0.03125  0.313  0.270  0.283  ['CT', 'RT', 'ART']
2  0.8  0.00  0.04513888888888889  0.500  0.520  0.380  ['CT', 'RT', 'ART']
2  0.8  0.00  0.05555555555555555  0.620  0.360  0.460  ['CT', 'ART']
2  0.8  0.00  0.0625  0.580  0.460  0.440  ['CT', 'RT', 'ART']
2  0.8  0.00  0.08680555555555555  0.800  0.560  0.640  ['CT', 'ART']
2  0.8  0.00  0.09027777777777778  0.840  0.480  0.660  ['CT', 'ART']
2  0.8  0.00  0.1076388888888889  0.800  0.720  0.740  ['CT', 'RT', 'ART']
2  0.8  0.00  0.11805555555555555  0.820  0.780  0.860  ['CT', 'RT', 'ART']
2  0.8  0.00  0.13541666666666666  1.000  0.760  0.820  ['CT']
2  0.8  0.00  0.171875  1.000  0.840  0.960  ['CT', 'ART']
2  0.8  0.00  0.1736111111111111  1.000  0.840  0.960  ['CT', 'ART']
2  0.8  0.25  0.003472222222222222  0.020  0.000  0.100  ['CT', 'ART']
2  0.8  0.25  0.013888888888888888  0.110  0.120  0.110  ['CT', 'RT', 'ART']
2  0.8  0.25  0.04861111111111111  0.660  0.360  0.500  ['CT', 'ART']
2  0.8  0.25  0.0625  0.680  0.300  0.547  ['CT', 'ART']
2  0.8  0.25  0.09027777777777778  0.560  0.600  0.540  ['CT', 'RT', 'ART']
2  0.8  0.25  0.1111111111111111  0.480  0.700  0.580  ['CT', 'RT', 'ART']
2  0.8  0.25  0.125  0.560  0.700  0.580  ['CT', 'RT', 'ART']
2  0.8  0.25  0.1736111111111111  0.800  0.900  0.880  ['CT', 'RT', 'ART']
2  0.8  0.25  0.18055555555555555  0.720  0.860  0.740  ['CT', 'RT', 'ART']
2  0.8  0.25  0.2152777777777778  0.900  0.860  0.900  ['CT', 'RT', 'ART']
2  0.8  0.25  0.2361111111111111  1.000  0.940  0.960  ['CT', 'RT', 'ART']
2  0.8  0.25  0.2708333333333333  1.000  0.960  0.960  ['CT', 'RT', 'ART']
2  0.8  0.25  0.34375  1.000  1.000  0.980  ['CT', 'RT', 'ART']
2  0.8  0.25  0.3472222222222222  1.000  1.000  0.980  ['CT', 'RT', 'ART']
2  0.8  0.50  0.004464285714285714  0.080  0.060  0.040  ['CT', 'RT', 'ART']
2  0.8  0.50  0.017857142857142856  0.140  0.210  0.120  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0625  0.700  0.600  0.720  ['CT', 'RT', 'ART']
2  0.8  0.50  0.08035714285714286  0.750  0.397  0.727  ['CT', 'ART']
2  0.8  0.50  0.11607142857142858  0.600  0.740  0.740  ['CT', 'RT', 'ART']
2  0.8  0.50  0.14285714285714285  0.600  0.560  0.740  ['CT', 'RT', 'ART']
2  0.8  0.50  0.16071428571428573  0.600  0.720  0.740  ['CT', 'RT', 'ART']
2  0.8  0.50  0.22321428571428573  0.860  0.960  0.940  ['CT', 'RT', 'ART']
2  0.8  0.50  0.23214285714285715  0.900  0.780  0.860  ['CT', 'RT', 'ART']
2  0.8  0.50  0.2767857142857143  0.920  0.920  0.960  ['CT', 'RT', 'ART']
2  0.8  0.50  0.30357142857142855  0.980  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.50  0.3482142857142857  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.8  0.50  0.4419642857142857  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.50  0.44642857142857145  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.005813953488372093  0.140  0.240  0.120  ['CT', 'RT', 'ART']
2  0.8  0.75  0.023255813953488372  0.510  0.330  0.280  ['CT']
2  0.8  0.75  0.08139534883720931  1.000  0.740  0.800  ['CT']
2  0.8  0.75  0.10465116279069768  0.787  0.457  0.740  ['CT', 'ART']
2  0.8  0.75  0.1511627906976744  0.840  0.860  0.940  ['CT', 'RT', 'ART']
2  0.8  0.75  0.18604651162790697  0.540  0.640  0.900  ['ART']
2  0.8  0.75  0.20930232558139536  1.000  0.700  0.980  ['CT', 'ART']
2  0.8  0.75  0.29069767441860467  0.960  0.980  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.3023255813953488  1.000  0.880  0.980  ['CT', 'ART']
2  0.8  0.75  0.36046511627906974  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.3953488372093023  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.45348837209302323  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.5755813953488372  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.5813953488372093  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.01  0.100  0.220  0.300  ['RT', 'ART']
2  0.8  1.00  0.04  0.560  0.500  0.520  ['CT', 'RT', 'ART']
2  0.8  1.00  0.14  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.18  1.000  0.867  0.993  ['CT', 'ART']
2  0.8  1.00  0.26  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.32  1.000  0.720  1.000  ['CT', 'ART']
2  0.8  1.00  0.36  1.000  0.780  1.000  ['CT', 'ART']
2  0.8  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.52  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.62  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.68  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.78  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.99  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00034722222222222224  0.020  0.000  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0010416666666666667  0.000  0.020  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00625  0.100  0.080  0.160  ['CT', 'RT', 'ART']
2  1.0  0.00  0.006944444444444444  0.130  0.090  0.130  ['CT', 'RT', 'ART']
2  1.0  0.00  0.02326388888888889  0.340  0.280  0.420  ['CT', 'RT', 'ART']
2  1.0  0.00  0.024305555555555556  0.380  0.360  0.480  ['CT', 'RT', 'ART']
2  1.0  0.00  0.03125  0.460  0.480  0.600  ['CT', 'RT', 'ART']
2  1.0  0.00  0.03159722222222222  0.420  0.380  0.540  ['CT', 'RT', 'ART']
2  1.0  0.00  0.035069444444444445  0.560  0.520  0.560  ['CT', 'RT', 'ART']
2  1.0  0.00  0.044444444444444446  0.680  0.500  0.620  ['CT', 'RT', 'ART']
2  1.0  0.00  0.04513888888888889  0.620  0.600  0.660  ['CT', 'RT', 'ART']
2  1.0  0.00  0.05520833333333333  0.680  0.640  0.780  ['CT', 'RT', 'ART']
2  1.0  0.00  0.05555555555555555  0.680  0.640  0.780  ['CT', 'RT', 'ART']
2  1.0  0.00  0.05625  0.680  0.640  0.780  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0625  0.800  0.740  0.780  ['CT', 'RT', 'ART']
2  1.0  0.00  0.08680555555555555  0.780  0.880  0.860  ['CT', 'RT', 'ART']
2  1.0  0.00  0.08993055555555556  0.860  0.880  0.920  ['CT', 'RT', 'ART']
2  1.0  0.00  0.09027777777777778  0.860  0.880  0.920  ['CT', 'RT', 'ART']
2  1.0  0.00  0.1076388888888889  0.920  0.860  0.960  ['CT', 'RT', 'ART']
2  1.0  0.00  0.11770833333333333  0.940  0.960  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.13541666666666666  1.000  0.880  0.980  ['CT', 'ART']
2  1.0  0.00  0.17326388888888888  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.1736111111111111  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.25  0.0006944444444444445  0.020  0.000  0.020  ['CT', 'RT', 'ART']
2  1.0  0.25  0.0020833333333333333  0.040  0.040  0.040  ['CT', 'RT', 'ART']
2  1.0  0.25  0.0125  0.320  0.240  0.220  ['CT', 'RT', 'ART']
2  1.0  0.25  0.013888888888888888  0.220  0.300  0.220  ['CT', 'RT', 'ART']
2  1.0  0.25  0.04652777777777778  0.580  0.600  0.600  ['CT', 'RT', 'ART']
2  1.0  0.25  0.04861111111111111  0.720  0.560  0.660  ['CT', 'RT', 'ART']
2  1.0  0.25  0.0625  0.900  0.660  0.860  ['CT', 'ART']
2  1.0  0.25  0.06319444444444444  0.220  0.620  0.640  ['RT', 'ART']
2  1.0  0.25  0.07013888888888889  0.660  0.720  0.720  ['CT', 'RT', 'ART']
2  1.0  0.25  0.08888888888888889  0.700  0.820  0.860  ['CT', 'RT', 'ART']
2  1.0  0.25  0.09027777777777778  0.340  0.660  0.700  ['RT', 'ART']
