STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.013888888888888888  0.300  0.280  0.320  ['CT', 'RT', 'ART']
2  0.4  0.00  0.023148148148148147  0.500  0.460  0.480  ['CT', 'RT', 'ART']
2  0.4  0.25  0.036585365853658534  0.160  0.660  0.640  ['RT', 'ART']
2  0.4  0.25  0.06097560975609756  0.360  0.740  0.860  ['RT', 'ART']
2  0.4  0.50  0.057692307692307696  1.000  0.380  0.860  ['CT', 'ART']
2  0.4  0.50  0.09615384615384616  1.000  0.640  0.940  ['CT', 'ART']
2  0.4  0.75  0.23076923076923078  1.000  0.880  1.000  ['CT', 'ART']
2  0.4  0.75  0.38461538461538464  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.6  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.00014467592592592592  0.000  0.020  0.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0014467592592592592  0.040  0.090  0.120  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0028935185185185184  0.120  0.160  0.160  ['CT', 'RT', 'ART']
2  0.6  0.00  0.006076388888888889  0.160  0.260  0.300  ['CT', 'RT', 'ART']
2  0.6  0.00  0.010127314814814815  0.200  0.480  0.520  ['RT', 'ART']
2  0.6  0.00  0.010561342592592593  0.200  0.500  0.520  ['RT', 'ART']
2  0.6  0.25  0.0006127450980392157  0.020  0.020  0.040  ['CT', 'RT', 'ART']
2  0.6  0.25  0.006127450980392157  0.500  0.290  0.350  ['CT', 'ART']
2  0.6  0.25  0.012254901960784314  0.920  0.480  0.520  ['CT']
2  0.6  0.25  0.025735294117647058  0.980  0.640  0.840  ['CT', 'ART']
2  0.6  0.25  0.0428921568627451  1.000  0.800  0.920  ['CT', 'ART']
2  0.6  0.25  0.044730392156862746  1.000  0.860  0.920  ['CT', 'ART']
2  0.6  0.50  0.0016339869281045752  0.040  0.100  0.120  ['CT', 'RT', 'ART']
2  0.6  0.50  0.016339869281045753  0.770  0.440  0.620  ['CT', 'ART']
2  0.6  0.50  0.032679738562091505  0.820  0.460  0.760  ['CT', 'ART']
2  0.6  0.50  0.06862745098039216  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.11437908496732026  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.119281045751634  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.007142857142857143  0.500  0.660  0.900  ['ART']
2  0.6  0.75  0.07142857142857142  1.000  0.790  1.000  ['CT', 'ART']
2  0.6  0.75  0.14285714285714285  1.000  0.800  1.000  ['CT', 'ART']
2  0.6  0.75  0.3  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.5214285714285715  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.0136986301369863  1.000  0.940  0.980  ['CT', 'RT', 'ART']
2  0.6  1.00  0.136986301369863  1.000  0.870  1.000  ['CT', 'ART']
2  0.6  1.00  0.273972602739726  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.5753424657534246  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.958904109589041  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  4.8225308641975306e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00038580246913580245  0.000  0.000  0.020  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00048225308641975306  0.060  0.000  0.020  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0009645061728395061  0.100  0.000  0.060  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00236304012345679  0.180  0.040  0.180  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0033034336419753086  0.140  0.140  0.180  ['CT', 'RT', 'ART']
2  0.8  0.00  0.003616898148148148  0.200  0.120  0.200  ['CT', 'RT', 'ART']
2  0.8  0.00  0.003689236111111111  0.200  0.140  0.200  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00027412280701754384  0.000  0.040  0.020  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0021929824561403508  0.140  0.200  0.140  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0027412280701754384  0.260  0.080  0.120  ['CT', 'ART']
2  0.8  0.25  0.005482456140350877  0.540  0.120  0.220  ['CT']
2  0.8  0.25  0.01343201754385965  0.860  0.460  0.440  ['CT']
2  0.8  0.25  0.018777412280701754  0.920  0.560  0.480  ['CT']
2  0.8  0.25  0.02055921052631579  0.900  0.600  0.560  ['CT']
2  0.8  0.25  0.020970394736842105  0.920  0.600  0.560  ['CT']
2  0.8  0.50  0.0008169934640522876  0.060  0.060  0.080  ['CT', 'RT', 'ART']
2  0.8  0.50  0.006535947712418301  0.440  0.360  0.600  ['CT', 'ART']
2  0.8  0.50  0.008169934640522876  0.700  0.180  0.380  ['CT']
2  0.8  0.50  0.016339869281045753  0.960  0.200  0.600  ['CT']
2  0.8  0.50  0.04003267973856209  1.000  0.760  0.960  ['CT', 'ART']
2  0.8  0.50  0.0559640522875817  1.000  0.860  0.980  ['CT', 'ART']
2  0.8  0.50  0.061274509803921566  1.000  0.840  0.980  ['CT', 'ART']
2  0.8  0.50  0.0625  1.000  0.900  0.980  ['CT', 'ART']
2  0.8  0.75  0.00468384074941452  0.640  0.820  0.760  ['CT', 'RT', 'ART']
2  0.8  0.75  0.03747072599531616  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.0468384074941452  0.980  0.480  0.960  ['CT', 'ART']
2  0.8  0.75  0.0936768149882904  1.000  0.740  1.000  ['CT', 'ART']
2  0.8  0.75  0.22950819672131148  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.32084309133489464  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.351288056206089  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.3583138173302108  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.013071895424836602  1.000  0.820  0.880  ['CT', 'ART']
2  0.8  1.00  0.10457516339869281  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.13071895424836602  1.000  0.880  1.000  ['CT', 'ART']
2  0.8  1.00  0.26143790849673204  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.6405228758169934  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.8954248366013072  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.9803921568627451  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
