STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.234375  0.980  0.880  0.900  ['CT', 'RT', 'ART']
2  0.4  0.00  0.359375  1.000  0.980  0.980  ['CT', 'RT', 'ART']
2  0.4  0.25  0.3125  0.940  0.980  1.000  ['CT', 'RT', 'ART']
2  0.4  0.25  0.4791666666666667  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.9583333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.75  0.9583333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.9583333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.015625  0.140  0.120  0.100  ['CT', 'RT', 'ART']
2  0.6  0.00  0.044921875  0.300  0.400  0.420  ['CT', 'RT', 'ART']
2  0.6  0.00  0.076171875  0.480  0.480  0.580  ['CT', 'RT', 'ART']
2  0.6  0.00  0.091796875  0.580  0.560  0.680  ['CT', 'RT', 'ART']
2  0.6  0.25  0.038461538461538464  0.200  0.100  0.160  ['CT', 'RT', 'ART']
2  0.6  0.25  0.11057692307692307  0.200  0.560  0.360  ['RT', 'ART']
2  0.6  0.25  0.1875  1.000  0.900  0.940  ['CT', 'RT', 'ART']
2  0.6  0.25  0.22596153846153846  1.000  0.920  0.960  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0625  0.660  0.360  0.440  ['CT', 'ART']
2  0.6  0.50  0.1796875  0.420  0.800  0.780  ['RT', 'ART']
2  0.6  0.50  0.3046875  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.3671875  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.08333333333333333  0.860  0.320  0.740  ['CT', 'ART']
2  0.6  0.75  0.23958333333333334  1.000  0.920  0.920  ['CT', 'RT', 'ART']
2  0.6  0.75  0.40625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.4895833333333333  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.16666666666666666  1.000  0.580  0.980  ['CT', 'ART']
2  0.6  1.00  0.4791666666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.8125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.9791666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.001953125  0.060  0.040  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.011474609375  0.060  0.000  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.015380859375  0.100  0.080  0.120  ['CT', 'RT', 'ART']
2  0.8  0.00  0.017333984375  0.140  0.080  0.120  ['CT', 'RT', 'ART']
2  0.8  0.25  0.007462686567164179  0.300  0.140  0.020  ['CT', 'RT']
2  0.8  0.25  0.043843283582089554  0.040  0.100  0.200  ['RT', 'ART']
2  0.8  0.25  0.058768656716417914  1.000  0.800  0.860  ['CT', 'ART']
2  0.8  0.25  0.06623134328358209  1.000  0.800  0.880  ['CT', 'ART']
