STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  2.1457672119140625e-06  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.00  4.291534423828125e-06  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.00  1.2874603271484375e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.00  2.574920654296875e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.00  3.4332275390625e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.00  5.14984130859375e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.25  2.74658203125e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.25  5.4931640625e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.25  0.000164794921875  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.25  0.00032958984375  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.25  0.000439453125  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.25  0.0006591796875  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.000244140625  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.00048828125  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.00146484375  0.020  0.000  0.040  ['CT', 'RT', 'ART']
2  0.4  0.50  0.0029296875  0.047  0.047  0.027  ['CT', 'RT', 'ART']
2  0.4  0.50  0.00390625  0.020  0.060  0.020  ['CT', 'RT', 'ART']
2  0.4  0.50  0.005859375  0.060  0.080  0.060  ['CT', 'RT', 'ART']
2  0.4  0.75  0.00625  0.160  0.060  0.080  ['CT', 'RT', 'ART']
2  0.4  0.75  0.0125  0.100  0.100  0.120  ['CT', 'RT', 'ART']
2  0.4  0.75  0.0375  0.100  0.240  0.200  ['CT', 'RT', 'ART']
2  0.4  0.75  0.075  0.680  0.567  0.587  ['CT', 'RT', 'ART']
2  0.4  0.75  0.1  0.820  0.600  0.660  ['CT', 'ART']
2  0.4  0.75  0.15  0.960  0.740  0.920  ['CT', 'ART']
2  0.4  1.00  0.041666666666666664  0.460  0.400  0.400  ['CT', 'RT', 'ART']
2  0.4  1.00  0.08333333333333333  0.420  0.460  0.640  ['CT', 'RT', 'ART']
2  0.4  1.00  0.25  1.000  0.740  0.960  ['CT', 'ART']
2  0.4  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  1.1315569281578064e-07  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.00  2.3469328880310059e-07  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.00  5.280598998069763e-07  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.00  7.040798664093018e-07  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.00  1.2405216693878174e-06  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.00  1.4081597328186035e-06  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.00  2.816319465637207e-06  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  4.827976226806641e-06  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  1.0013580322265625e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  2.2530555725097656e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  3.0040740966796875e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  5.2928924560546875e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  6.008148193359375e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  0.0001201629638671875  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.00013521634615384616  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.00028044871794871793  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0006310096153846154  0.020  0.000  0.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0008413461538461539  0.000  0.000  0.020  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0014823717948717948  0.020  0.040  0.020  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0016826923076923078  0.020  0.020  0.032  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0033653846153846156  0.040  0.040  0.060  ['CT', 'RT', 'ART']
2  0.6  0.75  0.0025375939849624062  0.040  0.060  0.020  ['CT', 'RT', 'ART']
2  0.6  0.75  0.005263157894736842  0.060  0.040  0.040  ['CT', 'RT', 'ART']
2  0.6  0.75  0.011842105263157895  0.180  0.160  0.200  ['CT', 'RT', 'ART']
2  0.6  0.75  0.015789473684210527  0.080  0.180  0.140  ['CT', 'RT', 'ART']
