STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.375  1.000  0.920  1.000  ['CT', 'ART']
2  0.4  1.00  0.5  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.375  1.000  0.960  0.980  ['CT', 'RT', 'ART']
2  0.6  0.00  0.5625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.75  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.375  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.65625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.65625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.00  0.375  1.000  0.940  1.000  ['CT', 'RT', 'ART']
3  0.4  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.00  0.5625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  0.75  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.65625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.65625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.4  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.4  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.6  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.6  0.00  0.5625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.6  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.6  1.00  0.75  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.00  0.65625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  1.00  0.875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.00  0.65625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
