STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.0625  0.360  0.440  0.420  ['CT', 'RT', 'ART']
2  0.4  0.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  0.50  0.0625  0.260  0.280  0.420  ['CT', 'RT', 'ART']
2  0.4  0.50  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.4  1.00  0.0625  0.500  0.400  0.400  ['CT', 'RT', 'ART']
2  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.03125  0.080  0.260  0.180  ['RT', 'ART']
2  0.6  0.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0625  0.260  0.280  0.220  ['CT', 'RT', 'ART']
2  0.6  0.50  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.0625  0.340  0.280  0.460  ['CT', 'RT', 'ART']
2  0.6  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0078125  0.020  0.060  0.080  ['CT', 'RT', 'ART']
2  0.8  0.00  0.1328125  0.900  0.760  0.800  ['CT', 'RT', 'ART']
2  0.8  0.00  0.1953125  0.980  0.900  0.940  ['CT', 'RT', 'ART']
2  0.8  0.00  0.25  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.2578125  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0125  0.120  0.100  0.200  ['CT', 'RT', 'ART']
2  0.8  0.50  0.2125  1.000  0.760  0.980  ['CT', 'ART']
2  0.8  0.50  0.3125  1.000  0.840  1.000  ['CT', 'ART']
2  0.8  0.50  0.4  1.000  0.920  1.000  ['CT', 'ART']
2  0.8  0.50  0.4125  1.000  0.920  1.000  ['CT', 'ART']
2  0.8  0.50  0.6  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.020833333333333332  0.160  0.220  0.180  ['CT', 'RT', 'ART']
2  0.8  1.00  0.3541666666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.5208333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.6875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00390625  0.080  0.020  0.060  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0234375  0.280  0.240  0.200  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0390625  0.420  0.340  0.340  ['CT', 'RT', 'ART']
2  1.0  0.00  0.06640625  0.580  0.560  0.560  ['CT', 'RT', 'ART']
2  1.0  0.00  0.12109375  0.820  0.800  0.820  ['CT', 'RT', 'ART']
2  1.0  0.00  0.125  0.900  0.720  0.820  ['CT', 'RT', 'ART']
2  1.0  0.00  0.12890625  0.900  0.720  0.860  ['CT', 'ART']
2  1.0  0.00  0.25  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  1.0  0.50  0.00625  0.080  0.080  0.100  ['CT', 'RT', 'ART']
2  1.0  0.50  0.0375  0.440  0.520  0.600  ['CT', 'RT', 'ART']
2  1.0  0.50  0.0625  0.640  0.820  0.880  ['RT', 'ART']
2  1.0  0.50  0.10625  0.840  0.600  0.760  ['CT', 'ART']
2  1.0  0.50  0.19375  0.980  0.900  0.940  ['CT', 'RT', 'ART']
2  1.0  0.50  0.2  1.000  0.820  0.960  ['CT', 'ART']
2  1.0  0.50  0.20625  1.000  0.840  0.980  ['CT', 'ART']
2  1.0  0.50  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.015625  0.140  0.040  0.080  ['CT', 'RT', 'ART']
2  1.0  1.00  0.09375  0.680  0.820  0.880  ['RT', 'ART']
2  1.0  1.00  0.15625  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.265625  1.000  0.840  0.960  ['CT', 'ART']
2  1.0  1.00  0.484375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.515625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.00  0.0625  0.420  0.480  0.620  ['CT', 'RT', 'ART']
3  0.4  0.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.50  0.0625  0.640  0.380  0.540  ['CT', 'ART']
3  0.4  0.50  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  1.00  0.0625  0.480  0.460  0.540  ['CT', 'RT', 'ART']
3  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.00  0.03125  0.320  0.260  0.320  ['CT', 'RT', 'ART']
3  0.6  0.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.50  0.0625  0.640  0.580  0.660  ['CT', 'RT', 'ART']
3  0.6  0.50  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  0.0625  0.700  0.500  0.580  ['CT', 'RT', 'ART']
3  0.6  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.0078125  0.200  0.140  0.200  ['CT', 'RT', 'ART']
3  0.8  0.00  0.1328125  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.1953125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.25  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.2578125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.0125  0.280  0.160  0.320  ['CT', 'RT', 'ART']
3  0.8  0.50  0.2125  1.000  0.920  1.000  ['CT', 'ART']
3  0.8  0.50  0.3125  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.4125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.6  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.020833333333333332  0.320  0.320  0.320  ['CT', 'RT', 'ART']
3  0.8  1.00  0.3541666666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.5208333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.6875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.00390625  0.120  0.100  0.100  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0234375  0.620  0.520  0.520  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0390625  0.780  0.720  0.760  ['CT', 'RT', 'ART']
3  1.0  0.00  0.06640625  0.860  0.800  0.980  ['CT', 'ART']
3  1.0  0.00  0.12109375  0.980  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.125  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.12890625  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.25  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.00625  0.140  0.100  0.100  ['CT', 'RT', 'ART']
3  1.0  0.50  0.0375  0.700  0.880  0.900  ['RT', 'ART']
3  1.0  0.50  0.0625  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.10625  1.000  0.880  0.960  ['CT', 'ART']
3  1.0  0.50  0.19375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.2  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.20625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.015625  0.420  0.360  0.300  ['CT', 'RT', 'ART']
3  1.0  1.00  0.09375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.15625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.265625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.484375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.515625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
