STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.4  0.00  0.010416666666666666  0.084  0.096  0.112  ['CT', 'RT', 'ART']
2  0.4  0.00  0.020833333333333332  0.180  0.107  0.180  ['CT', 'RT', 'ART']
2  0.4  0.25  0.027777777777777776  0.416  0.180  0.248  ['CT']
2  0.4  0.25  0.05555555555555555  0.753  0.447  0.513  ['CT']
2  0.4  0.50  0.05  0.896  0.412  0.648  ['CT']
2  0.4  0.50  0.1  1.000  0.620  0.847  ['CT']
2  0.4  0.75  0.1  1.000  0.628  1.000  ['CT', 'ART']
2  0.4  0.75  0.2  1.000  0.880  1.000  ['CT', 'ART']
2  0.4  1.00  0.3333333333333333  1.000  0.708  1.000  ['CT', 'ART']
2  0.4  1.00  0.6666666666666666  1.000  0.973  1.000  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0005208333333333333  0.050  0.030  0.020  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0010416666666666667  0.070  0.070  0.010  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0015625  0.070  0.080  0.050  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0020833333333333333  0.060  0.140  0.100  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0026041666666666665  0.120  0.120  0.140  ['CT', 'RT', 'ART']
2  0.6  0.00  0.003125  0.160  0.200  0.280  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0036458333333333334  0.120  0.140  0.140  ['CT', 'RT', 'ART']
2  0.6  0.00  0.004166666666666667  0.220  0.240  0.280  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0046875  0.220  0.240  0.180  ['CT', 'RT', 'ART']
2  0.6  0.00  0.005208333333333333  0.233  0.227  0.247  ['CT', 'RT', 'ART']
2  0.6  0.00  0.00625  0.280  0.340  0.340  ['CT', 'RT', 'ART']
2  0.6  0.00  0.0067708333333333336  0.320  0.360  0.340  ['CT', 'RT', 'ART']
2  0.6  0.00  0.009375  0.420  0.420  0.460  ['CT', 'RT', 'ART']
2  0.6  0.25  0.0026041666666666665  0.260  0.110  0.120  ['CT']
2  0.6  0.25  0.005208333333333333  0.380  0.170  0.330  ['CT', 'ART']
2  0.6  0.25  0.0078125  0.530  0.250  0.440  ['CT', 'ART']
2  0.6  0.25  0.010416666666666666  0.640  0.400  0.540  ['CT', 'ART']
2  0.6  0.25  0.013020833333333334  0.500  0.400  0.480  ['CT', 'RT', 'ART']
2  0.6  0.25  0.015625  0.620  0.520  0.680  ['CT', 'RT', 'ART']
2  0.6  0.25  0.018229166666666668  0.820  0.500  0.800  ['CT', 'ART']
2  0.6  0.25  0.020833333333333332  0.880  0.660  0.760  ['CT', 'ART']
2  0.6  0.25  0.0234375  0.800  0.640  0.800  ['CT', 'RT', 'ART']
2  0.6  0.25  0.026041666666666668  0.927  0.673  0.900  ['CT', 'ART']
2  0.6  0.25  0.03125  0.860  0.780  0.900  ['CT', 'RT', 'ART']
2  0.6  0.25  0.033854166666666664  0.920  0.800  0.800  ['CT', 'RT', 'ART']
2  0.6  0.25  0.046875  0.980  0.880  0.960  ['CT', 'RT', 'ART']
2  0.6  0.50  0.003676470588235294  0.280  0.180  0.140  ['CT', 'RT']
2  0.6  0.50  0.007352941176470588  0.340  0.200  0.350  ['CT', 'RT', 'ART']
2  0.6  0.50  0.011029411764705883  0.610  0.360  0.500  ['CT', 'ART']
2  0.6  0.50  0.014705882352941176  0.720  0.500  0.580  ['CT', 'RT', 'ART']
2  0.6  0.50  0.01838235294117647  0.720  0.480  0.560  ['CT', 'ART']
2  0.6  0.50  0.022058823529411766  0.720  0.540  0.740  ['CT', 'RT', 'ART']
2  0.6  0.50  0.025735294117647058  0.880  0.680  0.880  ['CT', 'ART']
2  0.6  0.50  0.029411764705882353  0.880  0.740  0.740  ['CT', 'RT', 'ART']
2  0.6  0.50  0.03308823529411765  0.940  0.660  0.860  ['CT', 'ART']
2  0.6  0.50  0.03676470588235294  0.927  0.707  0.927  ['CT', 'ART']
2  0.6  0.50  0.04411764705882353  0.980  0.780  0.900  ['CT', 'ART']
2  0.6  0.50  0.04779411764705882  0.980  0.760  0.960  ['CT', 'ART']
2  0.6  0.50  0.0661764705882353  1.000  0.940  0.980  ['CT', 'RT', 'ART']
2  0.6  0.75  0.017241379310344827  1.000  0.400  0.940  ['CT', 'ART']
2  0.6  0.75  0.034482758620689655  1.000  0.590  1.000  ['CT', 'ART']
2  0.6  0.75  0.05172413793103448  1.000  0.770  1.000  ['CT', 'ART']
2  0.6  0.75  0.06896551724137931  1.000  0.900  1.000  ['CT', 'ART']
2  0.6  0.75  0.08620689655172414  1.000  0.920  1.000  ['CT', 'ART']
2  0.6  0.75  0.10344827586206896  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.1206896551724138  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.13793103448275862  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.15517241379310345  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.1724137931034483  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.20689655172413793  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.22413793103448276  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  0.75  0.3103448275862069  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.03333333333333333  1.000  0.440  0.950  ['CT', 'ART']
2  0.6  1.00  0.06666666666666667  1.000  0.700  1.000  ['CT', 'ART']
2  0.6  1.00  0.1  1.000  0.900  1.000  ['CT', 'ART']
2  0.6  1.00  0.13333333333333333  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.16666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.2  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.23333333333333334  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.26666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.3  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.3333333333333333  1.000  0.993  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.43333333333333335  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.6  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  6.510416666666667e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00013020833333333333  0.020  0.000  0.010  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0001953125  0.020  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00026041666666666666  0.020  0.040  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.000390625  0.060  0.010  0.030  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0005208333333333333  0.060  0.020  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0007161458333333333  0.040  0.060  0.020  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00078125  0.040  0.100  0.020  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0008463541666666667  0.140  0.060  0.040  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0010416666666666667  0.080  0.040  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0013671875  0.020  0.080  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0014322916666666666  0.160  0.060  0.080  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0016276041666666667  0.100  0.140  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0029296875  0.160  0.160  0.080  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0032552083333333335  0.180  0.240  0.160  ['CT', 'RT', 'ART']
